Record_ID,Variety_ID,Variety,StdLanguageName,StdLangID,Subgroup,Family,OriginalForm,OriginalGloss,OriginalPofSpeech,StdPoS,Std_Gloss,StdGloss_ID,WordNetForm,SemanticField,GeneralNote,PhonemicisedIPA,PhonemicisedForm,REC@LoanCode,REC@LoanSource,RecCounter,SourceNote,SourcePages,SourcePriority,AIATSISCode,Ascii_Name,Glottolog_id,ISO639,Latitude,Longitude,Shortcode,Author,Year,Reconstruction_Form,Reconstruction_ID,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
5195,140412,584,Biri (Yilba),1168,Maric,Pama-Nyungan,bari,"hill, mountain",N,N,hill,631,hill.n.01,EARTH,,pari,paÉ_i,,,130167,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5196,140415,584,Biri (Yilba),1168,Maric,Pama-Nyungan,bidmalin?,"lightning  (fr. Curr 131i - 'betmallen', Chatfield 'besmallen')",,,lightning,591,lightning.n.01,SKY,,pitmalin?,pitmalin?,,,130170,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5197,140416,584,Biri (Yilba),1168,Maric,Pama-Nyungan,bidhi,skin,N,N,skin,138,skin.n.01,BODY,,pithi,pitÌªi,,,130171,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5198,140421,584,Biri (Yilba),1168,Maric,Pama-Nyungan,bilbili,breast,N,N,breast,82,breast.n.02,BODY,,pilpili,pilpili,,,130176,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5199,140423,584,Biri (Yilba),1168,Maric,Pama-Nyungan,binbi,good,Adj,Adj,good,1446,good.a.01,QUALITY,,pinpi,pinpi,,,130178,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5200,140424,584,Biri (Yilba),1168,Maric,Pama-Nyungan,binda,sit,V,V,sit,2221,sit.v.01,"BODY, LOCATION",,pinta,pinta,,,130179,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5201,140425,584,Biri (Yilba),1168,Maric,Pama-Nyungan,bingara,grey,Adj,Adj,grey,2456,grey.s.01,COLOUR,,piÅ‹ara,piÅ‹aÉ_a,,,130180,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5202,140426,584,Biri (Yilba),1168,Maric,Pama-Nyungan,binim,perch,N,N,perch,3211,perch.n.05,FISH,,pinim,pinim,,,130181,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5203,140429,584,Biri (Yilba),1168,Maric,Pama-Nyungan,birrgu(na),"wife (also briguna, burriguna)",N,N,wife,226,wife.n.01,KINSHIP,,pirrku(na),pirku(na),,,130184,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5204,140431,584,Biri (Yilba),1168,Maric,Pama-Nyungan,buburu,"tree, stick, wood",N,N,tree,1195,tree.n.01,TREE,,pupuru,pupuÉ_u,,,130186,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5205,140432,584,Biri (Yilba),1168,Maric,Pama-Nyungan,budhira,emu call,N,N,Emu,825,emu.n.02,BIRD,,puthira,putÌªiÉ_a,,,130187,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5206,140434,584,Biri (Yilba),1168,Maric,Pama-Nyungan,budhuna,mosquito,N,N,mosquito,1167,mosquito.n.01,INSECT,,puthuna,putÌªuna,,,130189,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
5207,140436,584,Biri (Yilba),1168,Maric,Pama-Nyungan,bulanu,moon,N,N,moon,608,moon.n.01,SKY,,pulanu,pulanu,,,130191,,,1,E56,Biri,biri1256,bzr,-20.80771847,146.5993475,Terrell,"Terrell, Angela",,,,,,
